RA,DEC,DIST,MAG,TYPE,NAME,SIZE
264.3297,-42.997824,92.081,1.86,star F1II,"Sargas ;HIP 86228 ;HD  159532 ;HR  6553 ;BF  The Sco ;",0
89.882235,44.947433,24.8694,1.9,star A2V,"Menkalinan ;HIP 28360 ;HD  40183 ;HR  2088 ;GL  NN 3375 ;BF  34Bet Aur ;",0
252.166155,-69.027715,119.7605,1.91,star K2IIb-IIIa,"Atria ;HIP 82273 ;HD  150798 ;HR  6217 ;BF  Alp TrA ;",0
99.42792,16.399252,33.5121,1.93,star A0IV,"Alhena ;HIP 31681 ;HD  47105 ;HR  2421 ;BF  24Gam Gem ;",0
131.175885,-54.708821,24.6975,1.93,star A1V,"HIP 42913 ;HD  74956 ;HR  3485 ;GL  Gl 321.3A ;BF  Del Vel ;",0
306.411885,-56.73509,54.8246,1.94,star B2IV,"Peacock ;HIP 100751 ;HD  193924 ;HR  7790 ;BF  Alp Pav ;",0
37.94625,89.264109,132.626,1.97,star F7:Ib-IIv SB,"Polaris ;HIP 11767 ;HD  8890 ;HR  424 ;BF  1Alp UMi ;",0
95.674935,-17.955918,151.0574,1.98,star B1II/III,"Mirzam ;HIP 30324 ;HD  44743 ;HR  2294 ;BF  2Bet CMa ;",0
141.89685,-8.658603,55.2792,1.99,star K3III,"Alphard ;HIP 46390 ;HD  81797 ;HR  3748 ;BF  30Alp Hya ;",0
31.793325,23.462423,20.1776,2.01,star K2III,"Hamal ;HIP 9884 ;HD  12929 ;HR  617 ;GL  Gl 84.3 ;BF  13Alp Ari ;",0
154.993095,19.841489,39.8883,2.01,star K0III,"Algieba ;HIP 50583 ;HD  89484 ;HR  4057 ;BF  41Gam1Leo ;",0
10.89735,-17.986605,29.5334,2.04,star K0III,"Diphda ;HIP 3419 ;HD  4128 ;HR  188 ;GL  Gl 31 ;BF  16Bet Cet ;",0
283.81635,-26.296722,69.8324,2.05,star B2.5V,"Nunki ;HIP 92855 ;HD  175191 ;HR  7121 ;BF  34Sig Sgr ;",0
211.670925,-36.369954,18.0343,2.06,star K0IIIb,"Menkent ;HIP 68933 ;HD  123139 ;HR  5288 ;GL  Gl 539 ;BF  5The Cen ;",0
2.096865,29.090432,29.7442,2.07,star B9p,"Alpheratz ;HIP 677 ;HD  358 ;HR  15 ;BF  21Alp And ;",0
17.43291,35.620558,60.5327,2.07,star M0IIIvar,"Mirach ;HIP 5447 ;HD  6860 ;HR  337 ;GL  Gl 53.3 ;BF  43Bet And ;",0
86.939115,-9.669605,198.4127,2.07,star B0.5Iavar,"Saiph ;HIP 27366 ;HD  38771 ;HR  2004 ;BF  53Kap Ori ;",0
222.676575,74.155505,40.1445,2.07,star K4IIIvar,"Kochab ;HIP 72607 ;HD  131873 ;HR  5563 ;BF  7Bet UMi ;",0
340.666725,-46.884577,54.2594,2.07,star M5III,"HIP 112122 ;HD  214952 ;HR  8636 ;BF  Bet Gru ;",0
263.733615,12.560035,14.8965,2.08,star A5III,"Rasalhague ;HIP 86032 ;HD  159561 ;HR  6556 ;GL  Gl 681 ;BF  55Alp Oph ;",0
47.04222,40.955648,27.571,2.09,star B8V,"Algol ;HIP 14576 ;HD  19356 ;HR  936 ;BF  26Bet Per ;",0
30.97476,42.329725,120.4819,2.1,star B8V,"Almaak ;HIP 9640 ;HD  12533 ;HR  603 ;BF  57Gam1And ;",0
177.264945,14.57206,10.9999,2.14,star A3Vvar,"Denebola ;HIP 57632 ;HD  102647 ;HR  4534 ;GL  Gl 448 ;BF  94Bet Leo ;",0
14.177145,60.71674,168.3502,2.15,star B0IV:evar,"Cih ;HIP 4427 ;HD  5394 ;HR  264 ;BF  27Gam Cas ;",0
190.379565,-48.959888,39.9042,2.2,star A1IV,"HIP 61932 ;HD  110304 ;HR  4819 ;BF  Gam Cen ;",0
120.896055,-40.003148,332.2259,2.21,star O5IAf,"Naos ;HIP 39429 ;HD  66811 ;HR  3165 ;BF  Zet Pup ;",0
139.27257,-59.275229,234.7418,2.21,star A8Ib,"Tureis ;HIP 45556 ;HD  80404 ;HR  3699 ;BF  Iot Car ;",0
233.67192,26.714693,23.0097,2.22,star A0V,"Alphekka ;HIP 76267 ;HD  139006 ;HR  5793 ;BF  5Alp CrB ;",0
136.99902,-43.432589,166.9449,2.23,star K4Ib-II,"HIP 44816 ;HD  78647 ;HR  3634 ;BF  Lam Vel ;",0
200.981205,54.925362,26.3089,2.23,star A2V,"Mizar ;HIP 65378 ;HD  116656 ;HR  5054 ;GL  NN 3783A ;BF  79Zet UMa ;",0
305.557095,40.256679,561.7978,2.23,star F8Ib,"Sadr ;HIP 100453 ;HD  194093 ;HR  7796 ;BF  37Gam Cyg ;",0
10.12674,56.537331,69.979,2.24,star K0II-IIIvar,"Shedir ;HIP 3179 ;HD  3712 ;HR  168 ;BF  18Alp Cas ;",0
269.151555,51.488895,47.3037,2.24,star K5III,"Etamin ;HIP 87833 ;HD  164058 ;HR  6705 ;BF  33Gam Dra ;",0
83.001675,-0.299092,212.3142,2.25,star O9.5II,"Mintaka ;HIP 25930 ;HD  36486 ;HR  1852 ;BF  34Del Ori ;",0
2.293305,59.14978,16.7842,2.28,star F2III-IV,"Caph ;HIP 746 ;HD  432 ;HR  21 ;GL  Gl 8 ;BF  11Bet Cas ;",0
204.97194,-53.466394,131.0616,2.29,star B1III,"HIP 66657 ;HD  118716 ;HR  5132 ;BF  Eps Cen ;",0
240.083355,-22.62171,150.6024,2.29,star B0.2IV,"Dschubba ;HIP 78401 ;HD  143275 ;HR  5953 ;BF  7Del Sco ;",0
252.5412,-34.293232,19.5351,2.29,star K2IIIb,"HIP 82396 ;HD  151680 ;HR  6241 ;BF  26Eps Sco ;",0
220.482345,-47.3882,142.4501,2.3,star B1.5III,"HIP 71860 ;HD  129056 ;HR  5469 ;BF  Alp Lup ;",0
218.87679,-42.157824,93.7207,2.33,star B1Vn + A,"HIP 71352 ;HD  127972 ;HR  5440 ;BF  Eta Cen ;",0
165.460155,56.382427,24.4499,2.34,star A1V,"Merak ;HIP 53910 ;HD  95418 ;HR  4295 ;GL  Wo 9343 ;BF  48Bet UMa ;",0
221.24676,27.074222,62.1118,2.35,star A0,"Izar ;HIP 72105 ;HD  129988 ;HR  5505 ;BF  36Eps Boo ;",0
326.046495,9.875011,211.4165,2.38,star K2Ibvar,"Enif ;HIP 107315 ;HD  206778 ;HR  8308 ;BF  8Eps Peg ;",0
265.62198,-39.029983,148.1481,2.39,star B1.5III,"HIP 86670 ;HD  160578 ;HR  6580 ;BF  Kap Sco ;",0
6.57084,-42.305981,25.974,2.4,star K0III...,"Ankaa ;HIP 2081 ;HD  2261 ;HR  99 ;BF  Alp Phe ;",0
178.45752,53.69476,25.5037,2.41,star A0V SB,"Phad ;HIP 58001 ;HD  103287 ;HR  4554 ;BF  64Gam UMa ;",0
257.59452,-15.72491,27.0929,2.43,star A2.5Va,"HIP 84012 ;HD  155125 ;HR  6378 ;GL  Gl 656.1A ;BF  35Eta Oph ;",0
345.943515,28.082789,60.0962,2.44,star M2II-IIIvar,"Scheat ;HIP 113881 ;HD  217906 ;HR  8775 ;BF  53Bet Peg ;",0
